id;title_id;real_name;character_name;role
21876;35292;Nathaniel Homenick;yvjwdsIRgeGXLLa;Cinematographer
62024;35292;Brandy Shields;Bridget Stark;Actress
42767;19915;David Nitzsche;Lonnie Haley;Actress
11949;19915;Dawn Vandervort;Alicia Shields;Music Composer
61137;19915;Mary O'Hara;Courtney Carroll;xOgyyQUq
60468;19915;Shane Schimmel;Greg Prosacco;Screenwriter
59705;15223;Erin Terry;Blanche O'Kon;Costume Designer
47127;15223;Jean Ankunding;Kendra Lockman;Music Composer
12212;15223;April Gibson;Ana Beatty;Actor
29707;20127;Martin O'Kon;UDjuBwwPWqRwWSQ;Actress
10085;20127;Dorothy Heller;Stacey Tromp;Actor
41643;20127;Latoya Green;Ashley Quigley;Screenwriter
55415;9050;Mack Jakubowski;Wilfred Maggio;Actress
49917;29383;Cora Reichert;Lorraine Smitham;Actor
58057;29383;Barbara Balistreri;Lucille Mohr;Actress
49095;29383;Faye Gleichner;Roxanne Kilback;Film Editor
12261;29383;Otis Mraz;Julian Bosco;Producer
18323;29383;Richard Bartell;EhghfBodcOYIPXx;Producer
16110;46127;Brandy Kreiger-Kilback;Fannie O'Conner;Actress
7189;46127;Bradley Hessel;Larry Harris;Producer
19308;56076;Rosemary Hintz;Pat Bogisich;EkvtCdQa
26694;56076;Arlene Leuschke;Kelley Gutmann;Music Composer
9777;56076;Travis Hansen;Nathan Schroeder;Producer
55261;56076;Erica Schmeler;Linda Quitzon;Actor
29446;56076;Grace Cartwright;Rochelle Grant;Actor
48908;61181;Evelyn Ritchie;Johnnie Collins;Actor
9339;22892;Tami Runolfsson;Deborah Strosin;Production Designer
20703;22892;Katie Purdy;Stella Wolf;Screenwriter
7157;22892;Ralph Wintheiser-Krajcik;Damon Dicki;Costume Designer
18826;22892;Thelma Waelchi;Nancy Denesik;Music Composer
36354;52040;IhvhaILdXhLiDyLQtRkG;Marty Romaguera;hPkJkGSO
14853;44865;Lana Schultz;Rhonda Wolff;Costume Designer
17713;44865;Thomas Rogahn;Curtis Schneider;Cinematographer
28521;44865;yuihyJOlkmvsuKYWtVZG;Kate Bosco;Actor
55942;44865;Grace Quitzon;Elsa Nicolas;Producer
49879;44865;Carlos Lowe;Carlton Bartoletti;Production Designer
60031;19550;Katrina Zemlak;Miriam Keeling;Producer
8070;19550;Rene Mitchell;Rex Zemlak;Cinematographer
62036;19550;Marsha Murphy;Dana Predovic;Costume Designer
22418;19550;Belinda Durgan;Angela Conroy;Producer
53309;49014;Tiffany Larson;Lois Zboncak;Director
58284;49014;iAiFgSPIKGhDsYXaXUfA;Henry Jones;Music Composer
40110;49014;Leah Leuschke;Danielle Bechtelar;Screenwriter
23433;49014;Leona Haag;uHFycBPCMWkFkqB;Director
13709;32745;Julian Dicki;VlDbEeMElcwLawh;Director
24624;32745;UbQMgxdovehKWhTvziLH;Joseph Spencer;Costume Designer
26180;32745;Mildred Kovacek-Hermiston;Marsha Little;Screenwriter
10288;32745;Norman Hagenes;Everett Krajcik;Actress
33281;45818;Lee Franey;Darla Botsford;hPiNfqUf
44479;34111;Lucia Cassin;Muriel Mante;Producer
56266;34111;Henry Tremblay;Russell Hackett;Actor
4546;44137;Kayla Sanford;Geneva Schneider;Music Composer
5573;44137;Edmund Veum;Spencer Farrell;Producer
7103;44137;Gregg Towne;Rex Ruecker;EEkYCSDj
63007;44137;Jeanne Friesen;Traci Gottlieb;Music Composer
20132;40829;Tim Fahey;Leo Runte;Music Composer
52907;61799;Hattie Harber;Ginger Roob;Actress
64675;61799;Ebony Powlowski;Diana Bruen;Costume Designer
6028;10875;Nadine Leuschke;Joann Beier;Director
43846;20402;Lorenzo Luettgen-Kessler;Leon Witting;Actress
46120;20402;Christie Hamill;oqaQSKGWEicwcnB;Film Editor
36837;20402;Neil Cole;nTiPKfETFxujuRb;Music Composer
94;20402;Stewart Hudson;Jamie Walsh;Actress
11317;35446;Timmy Carter;QXwcSuTHrZceJEH;Screenwriter
23185;35446;Casey Schaden;Alfonso Weimann;FMQqQjzN
49985;35446;Rhonda Sporer;Juana Lowe-Lynch;Screenwriter
58181;35446;Walter Zieme;NDkHthVgzORulgl;Director
62823;32062;Angelica Thompson;Miriam Doyle;Producer
53790;32062;Marianne Tromp;Stacy Ziemann;Production Designer
17910;32062;Kathy Bradtke;Guadalupe Hand;Production Designer
13094;35965;Donna Shanahan;Joann Bailey;Director
39622;35965;Faye Koss;Teri Bergstrom;Music Composer
55059;35965;Arturo Beahan;Ernesto Barton;Actor
25975;38098;ZmEIKIubqjvLdmRTjstF;Adrian Emard;Actress
59730;38098;Patsy Bauch;Tiffany Hermiston;Actress
6605;38098;Kate Stracke;Rachael Stroman;Music Composer
54668;47885;Claudia Von;JAaUUUfqUDerGXO;Music Composer
4740;38259;Cory Barrows;Woodrow Conn;Producer
60828;38259;Clifton Weissnat;Boyd Dare;Producer
32192;476;Stewart Hermann;Jesus Feest;Film Editor
40934;476;Marion Kutch;Laurie Prohaska;Director
57812;476;Joanna Franey;Madeline Glover;Music Composer
43929;476;zMpimApmGAfxcvbMReua;Gertrude Wilkinson;Director
571;10318;FwUUdHsbDGIsxcAanuJQ;Mindy Bogisich;Film Editor
17971;56383;Mack Weimann;Lewis Kling;Film Editor
15422;56383;Melissa Kuhlman;Tammy Bruen;Actress
45106;56383;Candace Dach;vMxkURppWzFuMGW;Actress
588;56383;Gretchen Dickens;Roxanne Kuphal;WkVsYoRS
7210;178;Don Cartwright;Dewey Macejkovic;Director
63527;178;Chester Adams;Ramon Hauck;Actor
49592;46413;jUFLsMyubCvmgPVPWRpv;Christian Towne;Director
41834;46413;Christy Schmidt;Raquel Ullrich;Producer
15421;46413;Brian Ruecker;Rudy Kassulke;Costume Designer
48764;20363;Michael Abernathy;Edmund Batz;Production Designer
16402;20363;Marc Krajcik;bYGKALfOHmANSnl;Screenwriter
48160;20363;Kurt Mraz;Glenn Mraz;EDozfKMu
12375;20363;Andrea Cronin;Joann Littel-Jacobs;Producer
5957;61071;Mitchell Hayes;KWaVuPypDoPDSXh;Screenwriter
13775;61071;Cornelius Zulauf;Edmund Fritsch;Cinematographer
25598;61071;Glenn Farrell;Shaun Bechtelar;Producer
31388;61071;Orville Thompson;Terrence Auer;Screenwriter
40627;60463;wEHERIvmZuxzMsmHndzZ;NCSgazlsrFSnttQ;Director
33905;20292;Leland Bins;Rick Tromp;Producer
63079;20292;Gretchen Beier;Jenna Lang;Screenwriter
48053;20292;Reginald Tremblay;Dana Kovacek;Actress
53084;20292;Theodore Runolfsdottir;George Schmidt;Production Designer
62902;36410;Eloise Rau;neyYFgoIVxktiYO;Actor
6762;36410;Lola Wehner;Heidi Farrell;Film Editor
52692;36410;Angelica Marks;Penny Price;LkTpNnYj
64499;36410;Daryl Goyette;Cornelius Beatty-Kiehn;Cinematographer
1751;44530;Jesse Grant;Elbert Streich;Actress
17116;44530;Wilfred Gerlach;Ronnie Ernser;Actor
48214;44530;Brooke Herman;Josefina Williamson;Music Composer
14733;44530;Mark Bode;Floyd Ortiz;Cinematographer
44063;44530;Mona King;Jodi Kling;Actress
62766;4717;Ted Quigley;Nicholas Kris;Cinematographer
61953;11335;Shelley Stark;Audrey Hilll;Music Composer
41208;11335;Estelle Stoltenberg;Whitney McClure;Music Composer
23015;11335;Sheldon Bogan;James Harvey;Actor
19717;11335;Jessie Little;laNPABdWZCtVjWr;SVlXDubb
34297;58061;Vickie Kulas;eCVDRtbyiAmQJww;Actor
31336;58061;Eric Collier;Paul Weissnat;Film Editor
63799;11550;Kristy Lebsack;Sue Wunsch;Film Editor
8334;8665;Lora Kohler;Amelia Halvorson;Costume Designer
34351;8665;Jerry Yost;Wendell Ankunding;Production Designer
2429;8665;Boyd Rutherford;Jim Turner;Producer
46159;15697;Jeremy Willms;KdqfmIGgCSvwLRR;Cinematographer
46791;15697;Glenda Durgan;KloRlNpUWInTAOw;Film Editor
44141;3712;Joshua Rath-Huel;Alfonso Rath;Director
54089;3712;Joseph Little;Jimmie Johns;Costume Designer
14296;23380;Adrienne Bayer;Laverne Schuster;Director
13990;23380;MZaYRTMwkQEjAqRKcATt;Kerry Larkin;Director
6839;2995;Sophia Hintz;Desiree Metz;MgsLsLCI
5345;43254;Dallas Corkery;Leon Walker;Music Composer
40205;43254;Samantha Crooks;Angelica McDermott;Actor
40211;43254;Woodrow Bednar;Alejandro Hane;Production Designer
36169;43254;Catherine Rosenbaum;hhwAWxYyWIYoOtU;Actress
8907;43254;cSxAnGfSeZWyyJspBylW;Mattie Zulauf;Cinematographer
39754;23179;afejgPmRhjgWAEthNDjT;TyxkUBDLbxTlzox;Production Designer
43057;23179;FfrqnpeXnxMCiDEXqeqI;hfDkYnhJHwHwUkI;Producer
8637;23179;Naomi Kertzmann;Sonya Hayes;Costume Designer
16528;23179;Dominic McDermott;Conrad Rempel;Actor
41568;23179;Sherry Cole;Dixie Osinski;Producer
52003;46898;Frankie Bernhard;Jesse Hoeger;Costume Designer
15861;32194;Victor Streich;Joel Barrows-Bashirian;VzyMxVeL
56689;32194;Diane Pagac;Jan Bruen;Actress
60136;19747;Benjamin Baumbach;Mike Maggio;Director
55521;60173;Sean Huels;Gilbert Kunde;Production Designer
22622;60173;Jesse Johnston;yfDUrGfgmLJRcKF;Film Editor
2395;43644;Leon Romaguera;Sylvester Howell;Director
28596;43644;Jessica Kovacek;Sherry Grant;Director
40231;43644;Lloyd Kiehn;Damon Altenwerth;Cinematographer
10815;25394;Steve Hettinger;Santiago Spencer;FANIQMrj
35767;25394;Leroy Jerde;Nick Koss-DuBuque;Film Editor
19645;38265;Rodney Kassulke;Alonzo Shields;Actor
33520;38265;Bridget Gibson;Ora Parisian;Music Composer
41526;38265;TXYKHSZhmBeofzyGlGvx;pCbvVmFRBWiLhcM;Actress
32515;38265;AOzbzdzQYBOcXpJyzFTP;Jan Rippin;Actor
33802;38265;Lela Simonis;glbNOaPBKAHghhs;Film Editor
23372;50561;zTeOiHxtBqFDpZvFrXGb;Christy Pouros;Costume Designer
45491;43230;MHTwQfJVWOXKkifABCVL;Isabel Little;Actor
8150;10974;Julie Fadel;Beatrice Powlowski;Producer
2307;44892;Krystal Herman;Traci Berge;Costume Designer
58916;44892;Angelica Marks;Courtney Nolan;Costume Designer
1424;44892;Jay Conn;Bobby Mertz;Costume Designer
51303;44892;Rufus Windler-Ziemann;Ruben Johnston;Actress
43819;38116;Joseph Borer;Larry Hilll;Actor
22640;38116;Desiree Torp-Johns;April Pagac;Costume Designer
13908;38116;Valerie Nolan;Latoya Crooks;Director
49949;38116;Horace Doyle;Phillip O'Connell;Music Composer
64956;38116;Madeline Gleason;Dolores Welch;Actor
10647;4525;Clinton Nader;Jonathon Bogisich;Director
34288;4525;Hilda Yundt;Pat Lind;Producer
37885;4525;Casey Kovacek;Julius Miller;Music Composer
41359;4525;Lynn Homenick;Vanessa Robel;Producer
37295;29880;Iris Ullrich;Eleanor VonRueden;Actress
57012;29880;KxROnsoDVKgzzBHGNBtB;Lora Turner;Costume Designer
63926;29880;Kenneth Schamberger;Ted Kulas;Music Composer
62074;56840;agxocNXnQtYUJeVVWEZb;Dianna Lynch;Actress
31764;56840;Maria Gleichner;Annie Crist;Production Designer
49435;56840;Angel Luettgen;Steven Greenholt;Director
9436;38632;Grace Strosin;Violet Okuneva;Film Editor
33267;50143;Seth Tremblay;Terrell Willms;Screenwriter
60579;50143;Marilyn West;Glenda Murazik;Actress
53909;50143;Gina Sipes;Sara Steuber;Actor
49943;58666;Elena Ebert;Pauline Konopelski;Cinematographer
41679;58666;Stephen Lang;Arthur Mosciski;Film Editor
39878;36646;Edwin Paucek;Terrell Kuhlman;Cinematographer
27998;36646;William Shields;Orlando O'Keefe;Producer
10663;36646;Candace Rice;Rita McCullough;nlWGtHFS
46048;47676;Jerome Gorczany;Clifton Corwin;Director
20287;47676;Greg Waters;Ken Haley;Music Composer
13165;47676;Erick Leuschke;Omar Keebler;UTVFQqRg
62862;2443;Amelia Orn;Nicole Osinski;Actress
17490;32181;Julia Ullrich;Rosie Reynolds;ByddFQYN
30237;32181;Elvira Konopelski;Molly Jacobson;Music Composer
33354;32181;Albert Robel;aCuuJprDgMlmCYn;Director
7642;32181;Tanya Dach;Shelly Kling;Actress
28846;17980;Bert DuBuque;Mathew Corwin;Director
56786;17980;Lois Wehner;Myrtle Altenwerth;Actress
42534;17980;Heather Jenkins;Lela Huels;Cinematographer
6871;24809;ycFZzNsFbsKJUlxEhdqo;Bradley Towne;Costume Designer
56325;24809;Marguerite McDermott;Patsy Schimmel;Producer
57126;24809;Nettie Durgan;Dana Rowe;Costume Designer
54822;6255;ZnMttlPbNvCMhEbvhqpO;Dianna Bode;Director
24655;6255;Jay Romaguera;Kurt Wisozk;Actress
38033;6255;Vivian Will;Vanessa Morar;Director
15557;6255;Angel Huel;FbvxkOqKIijoJqS;Cinematographer
23312;44294;Carlton Donnelly;Lucas Hoeger;Director
24054;44294;Joanne Bauch;Gloria Windler;Film Editor
17532;63943;Katrina VonRueden;Juanita Gutmann;Music Composer
17920;63943;Edna Ratke;Sherri Bartell;Music Composer
48720;63943;Pam Carroll;Natasha Hane;Film Editor
61973;27739;Michele Huels;Patricia Cormier;Screenwriter
7662;27739;Eugene Stoltenberg;Jimmie Skiles;Director
62161;27739;Fredrick Hudson;uGbxOlydWOJYkCK;Production Designer
36976;28500;Randy Kassulke;Rolando Senger;Film Editor
51727;53987;Felix Boyle;Samuel Romaguera;Music Composer
12882;53987;Ricky Stanton-Schoen;Felipe Kemmer;Film Editor
6072;53987;Patrick Wolf;fprWoqwivHCxIrA;Cinematographer
43705;53987;Salvador Leffler;Noel Hintz-Aufderhar;ufpkuXAP
17179;9486;Juan Stehr;Derrick Schuppe;Cinematographer
458;9486;Joe Lindgren;vopkTuyncNCasvD;Production Designer
28362;9486;Arlene Lang;Ann Johnston;Actress
37686;3267;Joy Kessler;Janie Beatty;Production Designer
55101;3267;Ernest Bednar;Laurence Considine;Production Designer
3799;3267;Loren Lang;Ted O'Hara;Actor
53740;3267;Meghan Wiegand;Gina Schowalter;Production Designer
28501;24120;Amanda Gulgowski;Mona Lindgren;Screenwriter
4203;24120;Verna Smitham;Yolanda Dickens;Film Editor
58285;6960;Kevin Wiza;Jack Crist;Screenwriter
15410;6960;Lisa Weissnat;Tracey Muller;Screenwriter
14956;6960;Raymond Zboncak;Charlie Morissette;Film Editor
8051;6960;mishWafkiblJVWmYNaSU;James Bosco;Film Editor
48672;15747;Jesus Lang;Daryl Jakubowski;Cinematographer
8629;15747;jgXYFyuLAICSdfgGrtBX;Lucia Crona;Director
30973;15747;Joseph Stehr;Roy Feest;Director
2126;15747;Gretchen West;Maureen Nitzsche-Prohaska;Costume Designer
52482;4012;Lynette Tremblay;Lindsey Dickinson;Production Designer
39894;4012;Tonya Hudson;Christy Haley;fmzOVAzK
37015;4012;Gary Watsica;Cary Muller;Director
1041;4012;Roberta Cronin;TSkJtENbnfcMNyA;Actor
63030;4012;Pat Kautzer;Evan Grady;Costume Designer
27139;27411;Loretta Hammes;Alexis Smith;Music Composer
30907;27411;Phyllis Bergstrom;Verna Gutmann;Screenwriter
38018;27411;Deborah Kreiger;Ida Mosciski;Production Designer
34525;27411;Emilio Nader;Gilberto Graham;Costume Designer
41195;27411;Marshall Koch;Walter Blick;Production Designer
20828;10026;Yvette Braun;Beatrice Steuber;Production Designer
56779;10026;Darnell Lebsack;Jesus Grant;Actor
41771;156;Cary Runte;Alexander Anderson;gsUYmKGH
38438;156;Cecilia Thompson;Edith Stroman;Music Composer
45390;156;Sonja Terry;Marilyn Bednar;pMATPPPF
39486;156;Opal Parker;Roxanne Pfannerstill;Music Composer
7851;3943;Sheri Stanton;Latoya Wehner;pOAWzavh
43738;3943;Glen Rowe;Sylvester Stehr;Music Composer
61499;3943;VJzwCxJNAJeSjaPojjfn;Jonathan Hermiston;Cinematographer
5658;3943;Owen Rutherford;Everett Bahringer;Actor
38360;3943;Allen Haag;Henry Zieme;Producer
56096;8786;Tyler Sanford;Louis VonRueden;Cinematographer
39803;8786;Jesus Beahan;Jaime Simonis;Actor
31428;40114;Johanna Volkman;Elizabeth Lindgren;Music Composer
20491;40114;Marcia Lockman;Sue Mraz-Champlin;Actor
6027;42073;Jacquelyn Stracke;Elvira Deckow;Film Editor
46744;42073;TqIOQSdHzDPYdPKoeZmk;Ira Smith;FIwqDTNA
17315;42073;Warren Fritsch;Ted Kessler;Cinematographer
11065;35522;Travis Strosin-Heaney;Bryant Keeling;Production Designer
26518;35522;George Von;Jeremiah O'Connell;Cinematographer
39250;35522;Sabrina Kiehn;Veronica Yost;Production Designer
57600;52401;Colleen Tremblay;Betsy Watsica;Screenwriter
45138;52401;Ginger Abernathy;Faye Ullrich;Actor
62081;52401;Arnold Christiansen;Jason Reichert-Stokes;Music Composer
11336;52401;Roxanne Haag;JkmEprdOwAEhwZO;Film Editor
12447;37647;Blanca Kessler;AIEdomaIArvzHhB;Screenwriter
10377;37647;CZgfbHOhMYtxifHrkJBr;Gretchen Marks;Actor
7335;13850;Leslie Lebsack;Tracy Effertz;Actor
16981;13850;Taylor Braun;Perry Bernier;Screenwriter
17246;13850;Rita Adams;Teri Mayer;Producer
24435;13850;Belinda Kozey;Stella Armstrong;Actress
28727;26015;Zachary Mohr;Ira Zieme;Costume Designer
36429;23079;Lydia Beahan;Bethany Bartell;Cinematographer
554;23079;Freda Fahey;Silvia Runolfsson;Cinematographer
34521;23079;Miranda Bernier;Shari Boyer;Production Designer
52570;23079;Lawrence Kassulke;FhxfTSyykLDqnTY;Cinematographer
35673;23079;Calvin Kilback;Jimmie Douglas;Film Editor
63083;41674;iWbEpYNzyqSQKSLTKbrt;Rufus Bauch;Costume Designer
3931;33028;Rose Jerde;qZVNEcjXfJhSSwg;Actor
49682;33028;Melanie Strosin;Hannah Daniel;Costume Designer
42255;33028;Kristin Wisoky;Jessie Balistreri;Actress
58479;33028;Noel Hane;ADUdVkNUAJIJFJr;Actress
19453;33028;Derrick Hegmann;Roy Crona;Cinematographer
20310;21596;Lela Leffler;Johanna Tillman;Actor
14442;21596;Jason Rowe;Amos Koelpin;Director
8761;21596;Micheal Nitzsche;Francisco Muller;Producer
59079;21596;Latoya Yundt;Melissa Grady;Actress
1799;57485;Vicky Koepp;hFkIZOIiihPqMEN;Director
30033;57485;Agnes MacGyver;Jacquelyn Glover;CPbuLhyG
18630;57485;Richard Murazik;Bradley Huels;Director
40288;57485;Brittany Wunsch;cFVtJtZySpIBzgT;Music Composer
32309;10137;Grace Hagenes;Wanda Rogahn;Screenwriter
50353;10137;Dwight Rohan;Carlton Schinner-Pacocha;Music Composer
14108;10137;Devin Hermann;Ricky Schneider;JZwiXGxR
52431;63289;ApCGvzhCQDMdpfQfIsTl;Christina Johnston;Costume Designer
63029;63289;Marta Rosenbaum;Raquel Howe;Screenwriter
3446;63289;Tommie Quitzon;Ignacio Runolfsdottir;Costume Designer
15791;63289;Joy O'Reilly;Helen Feil;Screenwriter
609;63289;Moses Lebsack;Jessie Langworth;Music Composer
